DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetID_Entrez,TargetGeneSymbol_Entrez
5'-o-(n-(l-alanyl)-sulfamoyl)adenosine,CHEMBL1163065,NA,[H][C@@](C)(N)C(O)=NS(=O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,2058,EPRS
5'-o-(n-(l-prolyl)-sulfamoyl)adenosine,CHEMBL1163086,NA,[H][C@]1(CCCN1)C(O)=NS(=O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,2058,EPRS
({[(3e)-2'-oxo-2'-7'-dihydro-2-3'-biindol-3(7h)-ylidene]amino}oxy)acetic acid,NA,NA,OC(=O)CO\N=C1/C2=CC=CCC2=N/C/1=C1\C(=O)N=C2CC=CC=C12,5837,PYGM
(1-hydroxydodecane-1-1-diyl)bis(phosphonic acid),CHEMBL416301,NA,CCCCCCCCCCCC(O)(P(O)(O)=O)P(O)(O)=O,9453,GGPS1
(1'r-2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine,NA,NA,NC1=NC=NC2=C1N=CN2[C@@H]1C=C[C@H](O)[C@H]1O,191,AHCY
(10alpha-13alpha-14beta-17alpha)-17-hydroxyandrost-4-en-3-one,CHEMBL196228,NA,[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1645,AKR1C1
(10alpha-13alpha-14beta-17alpha)-17-hydroxyandrost-4-en-3-one,CHEMBL196228,NA,[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1646,AKR1C2
(10r)-10-methyl-3-(6-methylpyridin-3-yl)-9-10-11-12-tetrahydro-8h-[1-4]diazepino[5'-6':4-5]thieno[3-2-f]quinolin-8-one,CHEMBL1231206,NA,[H][C@@]1(C)CNC2=C(SC3=C2C2=C(C=C3)N=C(C=C2)C2=CN=C(C)C=C2)C(=O)N1,9261,MAPKAPK2
(11e)-octadec-11-enoic acid,CHEMBL1236642,DB04801,CCCCCC\C=C/CCCCCCCCCC(O)=O,5467,PPARD
(1ar-8s-13s-14s-15ar)-5-13-14-trihydroxy-3-methoxy-8-methyl-8-9-13-14-15-15a-hexahydro-6h-oxireno[k][2]benzoxacyclotetradecine-6-12(1ah)-dione,NA,NA,[H][C@@]12C[C@]([H])(O)[C@]([H])(O)C(=O)C=CC[C@]([H])(C)OC(=O)C3=C(C=C(OC)C=C3O)[C@@]1([H])O2,5594,MAPK1
(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2-3-dihydro-1h-inden-1-one oxime,CHEMBL526479,NA,O\N=C1/CCC2=CC(=CC=C12)C1=CN(N=C1C1=CC=NC=C1)C1CCNCC1,673,BRAF
