DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetID_Entrez,TargetGeneSymbol_Entrez
(S)-nicardipine,CHEMBL1314450,NA,COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,775,CACNA1C
(S)-nicardipine,CHEMBL1314450,NA,COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,776,CACNA1D
(S)-nitrendipine,CHEMBL251230,NA,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,775,CACNA1C
(S)-nitrendipine,CHEMBL251230,NA,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,776,CACNA1D
(S)-nitrendipine,CHEMBL251230,NA,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,778,CACNA1F
(S)-nitrendipine,CHEMBL251230,NA,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,3783,KCNN4
Florbetapir F-18,CHEMBL1774461,DB09149,CNC1=CC=C(\C=C\C2=CN=C(OCCOCCOCC[18F])C=C2)C=C1,351,APP
abarelix,CHEMBL1252,DB00106,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,2798,GNRHR
abatacept,CHEMBL1201823,NA,NA,942,CD86
abatacept,CHEMBL1201823,NA,NA,941,CD80
abciximab,CHEMBL1201584,NA,NA,3674,ITGA2B
abciximab,CHEMBL1201584,NA,NA,3690,ITGB3
abiraterone acetate,CHEMBL254328,NA,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@]([H])(CC[C@]12C)OC(C)=O,1586,CYP17A1
acamprosate,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,2562,GABRB3
acamprosate,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,2554,GABRA1
acamprosate,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,2566,GABRG2
adinazolam,CHEMBL328250,DB00546,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2558,GABRA5
adinazolam,CHEMBL328250,DB00546,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2562,GABRB3
adinazolam,CHEMBL328250,DB00546,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2554,GABRA1
adinazolam,CHEMBL328250,DB00546,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2555,GABRA2
adinazolam,CHEMBL328250,DB00546,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2559,GABRA6
adinazolam,CHEMBL328250,DB00546,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2566,GABRG2
adinazolam,CHEMBL328250,DB00546,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2557,GABRA4
adinazolam,CHEMBL328250,DB00546,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2560,GABRB1
