DrugName,DrugID_PubChemCID,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetGeneSymbol_Entrez
A-317491,9829395,CHEMBL596234,NA,OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(=O)N(Cc1cccc(Oc2ccccc2)c1)[C@H]1CCCc2ccccc12,P2RX3
A-366,76285486,CHEMBL3109630,NA,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,EHMT1
A-366,76285486,CHEMBL3109630,NA,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,EHMT2
A-674563,11314340,CHEMBL379218,DB08568,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1,AKT1
A-674563,11314340,CHEMBL379218,DB08568,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1,PKIA
A-674563,11314340,CHEMBL379218,DB08568,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1,PRKACA
A-803467,16038374,CHEMBL250699,NA,COc1cc(NC(=O)c2ccc(o2)-c2ccc(Cl)cc2)cc(OC)c1,SCN10A
abamectin,5702208,NA,NA,CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](OC4C[C@H](OC)C(O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C=C[C@@H]1C,GABBR1
abamectin,5702208,NA,NA,CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](OC4C[C@H](OC)C(O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C=C[C@@H]1C,GABBR2
abametapir,15664,CHEMBL2205807,DB11932,Cc1ccc(nc1)-c1ccc(C)cn1,MMP9
ABC-294640,15604015,CHEMBL2158685,DB12764,Clc1ccc(cc1)C12CC3CC(CC(C3)(C1)C(=O)NCc1ccncc1)C2,SPHK2
abiraterone,132971,CHEMBL254328,DB05812,C[C@]12CC[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,CYP11B1
abiraterone,132971,CHEMBL254328,DB05812,C[C@]12CC[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,CYP17A1
