DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetGeneSymbol_Entrez,TargetID_Entrez
(-)-oleocanthal,CHEMBL2172394,NA,C/C=C(/C=O)\[C@@H](CC=O)CC(=O)OCCC1=CC=C(C=C1)O,TRPA1,8989
(+)-cyclazosin,CHEMBL2261604,NA,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN([C@@H]4[C@@H]3CCCC4)C(=O)C5=CC=CO5)N)OC,ADRA1A,148
(+)-cyclazosin,CHEMBL2261604,NA,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN([C@@H]4[C@@H]3CCCC4)C(=O)C5=CC=CO5)N)OC,ADRA1B,147
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,CHEK1,1111
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,PRKCD,5580
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,SLC2A4,6517
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,PRKCQ,5588
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,BIRC5,332
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,PRKCZ,5590
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,PRKCE,5581
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,PRKCH,5583
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,PDK1,5163
(7s)-hydroxyl-staurosporine,CHEMBL574737,DB01933,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC,XIAP,331
(cyclohexylamino)methylenediphosphonic acid,CHEMBL56253,NA,C1CCC(CC1)NC(P(=O)(O)O)P(=O)(O)O,FDPS,2224
(d)-serine,CHEMBL285123,DB03929,C([C@H](C(=O)O)N)O,GRIN2A,2903
(d)-serine,CHEMBL285123,DB03929,C([C@H](C(=O)O)N)O,GRIN2C,2905
(d)-serine,CHEMBL285123,DB03929,C([C@H](C(=O)O)N)O,GRIN2B,2904
(r)-cysteine,CHEMBL863,DB00151,C([C@@H](C(=O)O)N)S,TAAR1,134864
(r)-pia,CHEMBL139000,NA,C[C@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ADORA1,134
(r)-pia,CHEMBL139000,NA,C[C@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ADORA2A,135
(r)-pia,CHEMBL139000,NA,C[C@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ADORA2B,136
(r)-pia,CHEMBL139000,NA,C[C@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ADORA3,140
(r)zacopride,CHEMBL27846,NA,COC1=CC(=C(C=C1C(=O)N[C@H]2CN3CCC2CC3)Cl)N,HTR3B,9177
(r-s)-ampa,CHEMBL13378,NA,CC1=C(C(=O)NO1)CC(C(=O)O)N,GRIA1,2890
(r-s)-ampa,CHEMBL13378,NA,CC1=C(C(=O)NO1)CC(C(=O)O)N,GRIA2,2891
(r-s)-ampa,CHEMBL13378,NA,CC1=C(C(=O)NO1)CC(C(=O)O)N,GRIA4,2893
(s)-pia,CHEMBL420705,NA,C[C@@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ADORA3,140
(s)-pia,CHEMBL420705,NA,C[C@@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ADORA2A,135
(s)-pia,CHEMBL420705,NA,C[C@@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ADORA1,134
(s)-pia,CHEMBL420705,NA,C[C@@H](CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ADORA2B,136
(s-s)-fidarestat,CHEMBL84446,DB02021,C1[C@H](OC2=C([C@]13C(=O)NC(=O)N3)C=C(C=C2)F)C(=O)N,AR,367
[11c]sa4503,CHEMBL408867,NA,COC1=C(C=C(C=C1)CCN2CCN(CC2)CCCC3=CC=CC=C3)OC,SIGMAR1,10280
[3h]citalopram,CHEMBL1628605,NA,[3H]C(CCN(C)C)C1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,SLC6A4,6532
[3h]ketanserin,CHEMBL1628637,NA,[3H]C([3H])(C([3H])([3H])N1C(=O)C2=CC=CC=C2NC1=O)N3CCC(CC3)C(=O)C4=CC=C(C=C4)F,HTR2A,3356
[3h]lsd,CHEMBL463207,NA,[3H]C([3H])([3H])N1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,HTR2B,3357
[3h]lsd,CHEMBL463207,NA,[3H]C([3H])([3H])N1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,HTR6,3362
[3h]lsd,CHEMBL463207,NA,[3H]C([3H])([3H])N1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,HTR2C,3358
[3h]lsd,CHEMBL463207,NA,[3H]C([3H])([3H])N1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,SERPINA3,12
[3h]nemonapride,CHEMBL2261102,NA,C[C@@H]1[C@@H](CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl,DRD2,1813
[3h]nemonapride,CHEMBL2261102,NA,C[C@@H]1[C@@H](CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl,DRD3,1814
[3h]nisoxetine,CHEMBL1628648,NA,[3H]C([3H])([3H])NCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC,SLC6A2,6530
[3h]paroxetine,CHEMBL1628650,NA,[3H]C1=CC2=C(C=C1OC[C@@H]3CNCC[C@H]3C4=CC=C(C=C4)F)OCO2,SLC6A4,6532
[3h]pgd2,CHEMBL360785,NA,CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C/CCCC(=O)O)O,PTGDR2,11251
[3h]pgd2,CHEMBL360785,NA,CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C/CCCC(=O)O)O,PTGDR,5729
[3h]-zm-241385,CHEMBL1628684,NA,[3H]C1=CC(=CC=C1O)CCNC2=NC3=NC(=NN3C(=N2)N)C4=CC=CO4,ADORA2B,136
[3h]-zm-241385,CHEMBL1628684,NA,[3H]C1=CC(=CC=C1O)CCNC2=NC3=NC(=NN3C(=N2)N)C4=CC=CO4,ADORA2A,135
1-3-dipropyl-8-cyclopentylxanthine [dpcpx],CHEMBL183,DB12946,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,ADORA2A,135
1-3-dipropyl-8-cyclopentylxanthine [dpcpx],CHEMBL183,DB12946,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,ADORA2B,136
1-3-dipropyl-8-cyclopentylxanthine [dpcpx],CHEMBL183,DB12946,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,ADORA3,140
1-3-dipropyl-8-cyclopentylxanthine [dpcpx],CHEMBL183,DB12946,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,ADORA1,134
1-4-butanediol,CHEMBL171623,DB01955,C(CCO)CO,MAPK7,5598
1-4-butanediol,CHEMBL171623,DB01955,C(CCO)CO,MAP2K5,5607
1400w,CHEMBL107251,DB02044,CC(=NCC1=CC(=CC=C1)CN)N,NOS2,4843
1'-acetoxychavicol acetate,CHEMBL323727,NA,CC(=O)OC1=CC=C(C=C1)[C@H](C=C)OC(=O)C,TRPA1,8989
1d09c3,CHEMBL2109518,DB05121,NA,HLA-DRB5,3127
1d09c3,CHEMBL2109518,DB05121,NA,HLA-DRB3,3125
1d09c3,CHEMBL2109518,DB05121,NA,HLA-DRB4,3126
2'-3'-dideoxyadenosine triphosphate,CHEMBL1383,DB02189,C1C[C@@H](O[C@@H]1COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=NC3=C2N=CN=C3N,P2RY1,5028
22(r)-hydroxycholesterol,CHEMBL422904,NA,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O,NR1H2,7376
22(r)-hydroxycholesterol,CHEMBL422904,NA,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O,NR1H4,9971
22(r)-hydroxycholesterol,CHEMBL422904,NA,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O,NR1H3,10062
24(s)-25-epoxycholesterol,CHEMBL434302,NA,C[C@H](CC[C@H]1C(O1)(C)C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)O)C)C,NR1H2,7376
24(s)-25-epoxycholesterol,CHEMBL434302,NA,C[C@H](CC[C@H]1C(O1)(C)C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)O)C)C,NR1H3,10062
2-acetyl furanonapthoquinone,CHEMBL64130,DB12155,CC(=O)C1=CC2=C(O1)C(=O)C3=CC=CC=C3C2=O,KRAS,3845
2-amino-1-methyl-6- phenylimidazo[4-5- b]pyridine,CHEMBL1213271,DB08398,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,ANXA2P3,305
2-arachidonoylglycerol,CHEMBL122972,NA,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO,GPR55,9290
2-ethoxyethanol,CHEMBL119596,DB02249,CCOCCO,MAP3K5,4217
