DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetName,Accession,TargetGeneSymbol_Entrez,Swissprot,Organism
(S)-nicardipine,CHEMBL1314450,NA,COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,Voltage-gated L-type calcium channel,Q01668,CACNA1C,CAC1C_HUMAN,Homo sapiens
(S)-nicardipine,CHEMBL1314450,NA,COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,Voltage-gated L-type calcium channel,Q13936,CACNA1D,CAC1D_HUMAN,Homo sapiens
(S)-nitrendipine,CHEMBL251230,NA,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,Intermediate conductance calcium-activated potassium channel protein 4,O15554,KCNN4,KCNN4_HUMAN,Homo sapiens
(S)-nitrendipine,CHEMBL251230,NA,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,Voltage-dependent L-type calcium channel subunit alpha-1F,O60840,CACNA1F,CAC1F_HUMAN,Homo sapiens
(S)-nitrendipine,CHEMBL251230,NA,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,Voltage-dependent L-type calcium channel subunit alpha-1D,Q01668,CACNA1D,CAC1D_HUMAN,Homo sapiens
(S)-nitrendipine,CHEMBL251230,NA,CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936,CACNA1C,CAC1C_HUMAN,Homo sapiens
abarelix,CHEMBL1252,DB00106,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Gonadotropin-releasing hormone receptor,P30968,GNRHR,GNRHR_HUMAN,Homo sapiens
abatacept,CHEMBL1201823,NA,NA,T-lymphocyte activation antigen CD80,P33681,CD80,CD80_HUMAN,Homo sapiens
abatacept,CHEMBL1201823,NA,NA,T-lymphocyte activation antigen CD86,P42081,CD86,CD86_HUMAN,Homo sapiens
abciximab,CHEMBL1201584,NA,NA,Integrin alpha-IIb/beta-3,P05106,ITGA2B,ITA2B_HUMAN,Homo sapiens
abciximab,CHEMBL1201584,NA,NA,Integrin alpha-IIb/beta-3,P08514,ITGB3,ITB3_HUMAN,Homo sapiens
abiraterone acetate,CHEMBL254328,NA,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4C4=CC=CN=C4)[C@@H]3CC=C2C1,Cytochrome P450 3A4,P08684,CYP3A4,CP3A4_HUMAN,Homo sapiens
abiraterone acetate,CHEMBL254328,NA,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4C4=CC=CN=C4)[C@@H]3CC=C2C1,Cytochrome P450 11B1 mitochondrial,P15538,CYP11B1,C11B1_HUMAN,Homo sapiens
abiraterone acetate,CHEMBL254328,NA,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4C4=CC=CN=C4)[C@@H]3CC=C2C1,Cytochrome P450 11B2 mitochondrial,P19099,CYP11B2,C11B2_HUMAN,Homo sapiens
abiraterone acetate,CHEMBL254328,NA,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4C4=CC=CN=C4)[C@@H]3CC=C2C1,Steroid 17-alpha-hydroxylase/1720 lyase,P05093,CYP17A1,CP17A_HUMAN,Homo sapiens
acamprosate,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,Glutamate [NMDA] receptor,O15399,GRIN1,NMD3A_HUMAN,Homo sapiens
acamprosate,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,Glutamate [NMDA] receptor,O60391,GRIN2A,NMD3B_HUMAN,Homo sapiens
acamprosate,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,Glutamate [NMDA] receptor,Q05586,GRIN2B,NMDE1_HUMAN,Homo sapiens
acarbose,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Maltase-glucoamylase intestinal,O43451,MGAM,MGA_HUMAN,Homo sapiens
acarbose,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Sucrase-isomaltase intestinal,P14410,SI,SUIS_HUMAN,Homo sapiens
