DrugName,DrugID_LSM,DrugID_ChEMBL,DrugID_DrugBank,DrugID_PubChemCID,DrugSMILES,TargetGeneSymbol_Entrez,MechanismOfAction
(r)-etodolac,LSM-6021,CHEMBL1716091,NA,667528,CCC1=CC=CC2=C1NC3=C2CCO[C@]3(CC)CC(=O)O,RXRA,Retinoid X receptor alpha modulator
4-aminosalicylic acid,LSM-5862,CHEMBL1169,DB00233,4649,C1=CC(=C(C=C1N)O)C(=O)O,DHFR,Dihydrofolate reductase inhibitor
4-aminosalicylic acid,LSM-5862,CHEMBL1169,DB00233,4649,C1=CC(=C(C=C1N)O)C(=O)O,folA,Dihydrofolate reductase inhibitor
4-benzyloxyphenol,LSM-5642,CHEMBL1388,DB00600,7638,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,TYR,Tyrosinase inhibitor
4'-hydroxytamoxifen,LSM-43294,CHEMBL10041,NA,5284643,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=C(C=C3)O,ESR1,Estrogen receptor modulator
4'-hydroxytamoxifen,LSM-43294,CHEMBL10041,NA,5284643,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=C(C=C3)O,ESR2,Estrogen receptor modulator
4'-hydroxytamoxifen,LSM-43294,CHEMBL10041,NA,5284643,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=C(C=C3)O,ESRRG,Estrogen-related receptor gamma antagonist
4-methylpyrazole,LSM-5671,CHEMBL1308,DB01213,3406,CC1=CNN=C1,ADH1A,Alcohol dehydrogenase class I inhibitor
4-methylpyrazole,LSM-5671,CHEMBL1308,DB01213,3406,CC1=CNN=C1,ADH1B,Alcohol dehydrogenase class I inhibitor
4-methylpyrazole,LSM-5671,CHEMBL1308,DB01213,3406,CC1=CNN=C1,ADH1C,Alcohol dehydrogenase class I inhibitor
5-aminosalicylic acid,LSM-5427,CHEMBL704,DB00244,4075,C1=CC(=C(C=C1N)C(=O)O)O,PTGS1,Cyclooxygenase inhibitor
5-aminosalicylic acid,LSM-5427,CHEMBL704,DB00244,4075,C1=CC(=C(C=C1N)C(=O)O)O,PTGS2,Cyclooxygenase inhibitor
5-azacytidine,LSM-5218,CHEMBL1489,DB00928,9444,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,DNMT1,DNA (cytosine-5)-methyltransferase 1 inhibitor
5-azacytidine,LSM-5218,CHEMBL1489,DB00928,9444,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,DNMT3A,DNA (cytosine-5)-methyltransferase 3A inhibitor
5-fluorouracil,LSM-4261,CHEMBL185,DB00544,3385,C1=C(C(=O)NC(=O)N1)F,TYMS,Thymidylate synthase inhibitor
6-aminohexanoic acid,LSM-5733,CHEMBL1046,DB00513,564,C(CCC(=O)O)CCN,PLAT,Tissue-type plasminogen activator inhibitor
6-aminohexanoic acid,LSM-5733,CHEMBL1046,DB00513,564,C(CCC(=O)O)CCN,PLG,Plasminogen inhibitor
6-mercaptopurine,LSM-5963,CHEMBL1425,DB01033,667490,C1=NC2=C(N1)C(=S)N=CN2,PPAT,Amidophosphoribosyltransferase inhibitor
abacavir,LSM-43340,CHEMBL1380,DB01048,441300,C1CC1NC2=NC(=NC3=C2N=CN3[C@@H]4C[C@@H](C=C4)CO)N,pol,Human immunodeficiency virus type 1 reverse transcriptase inhibitor
ABT-199 (GDC-0199) (venetoclax),LSM-45468,CHEMBL3137309,NA,NA,NA,BCL2,Apoptosis regulator Bcl-2 inhibitor
ABT-333,LSM-45402,CHEMBL3137312,NA,NA,NA,NS5B,Hepatitis C virus NS5B RNA-dependent RNA polymerase inhibitor
ac1l1j8u,LSM-2618,CHEMBL1377,DB01131,4923,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl,DHFR,Dihydrofolate reductase inhibitor
ac1l1j8u,LSM-2618,CHEMBL1377,DB01131,4923,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl,folA,Dihydrofolate reductase inhibitor
AC480 (BMS-599626),LSM-45494,NA,NA,NA,NA,EGFR,Epidermal growth factor receptor erbB1 inhibitor
AC480 (BMS-599626),LSM-45494,NA,NA,NA,NA,ERBB2,Receptor protein-tyrosine kinase erbB-2 inhibitor
AC480 (BMS-599626),LSM-45494,NA,NA,NA,NA,ERBB4,Receptor protein-tyrosine kinase erbB-4 inhibitor
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRA1,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRA2,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRA3,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRA4,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRA5,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRA6,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRB1,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRB2,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRB3,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRD,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRE,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRG1,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRG2,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRG3,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRP,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GABRQ,GABA-A receptor; anion channel positive modulator
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GRIN1,Glutamate [NMDA] receptor antagonist
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GRIN2A,Glutamate [NMDA] receptor antagonist
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GRIN2B,Glutamate [NMDA] receptor antagonist
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GRIN2C,Glutamate [NMDA] receptor antagonist
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GRIN2D,Glutamate [NMDA] receptor antagonist
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GRIN3A,Glutamate [NMDA] receptor antagonist
acamprosate,LSM-43113,CHEMBL1201293,DB00659,71158,CC(=O)NCCCS(=O)(=O)O,GRIN3B,Glutamate [NMDA] receptor antagonist
acarbose,LSM-4631,CHEMBL1566,NA,444254,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,AMY2A,Pancreatic alpha-amylase inhibitor
acarbose,LSM-4631,CHEMBL1566,NA,444254,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,MGAM,Maltase-glucoamylase inhibitor
acebutolol,LSM-4384,CHEMBL642,DB01193,1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,ADRB1,Beta-1 adrenergic receptor antagonist
acetaminophen,LSM-5533,CHEMBL112,DB00316,1983,CC(=O)NC1=CC=C(C=C1)O,FAAH,Anandamide amidohydrolase inhibitor
acetaminophen,LSM-5533,CHEMBL112,DB00316,1983,CC(=O)NC1=CC=C(C=C1)O,PTGS1,Cyclooxygenase inhibitor
acetaminophen,LSM-5533,CHEMBL112,DB00316,1983,CC(=O)NC1=CC=C(C=C1)O,PTGS2,Cyclooxygenase inhibitor
acetaminophen,LSM-5533,CHEMBL112,DB00316,1983,CC(=O)NC1=CC=C(C=C1)O,TRPV1,Vanilloid receptor opener
acetazolamide,LSM-5543,CHEMBL20,DB00819,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CA1,Carbonic anhydrase I inhibitor
acetazolamide,LSM-5543,CHEMBL20,DB00819,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CA12,Carbonic anhydrase XII inhibitor
